Val_L;Val_R;R;G;B;Hex;Acronym;Level 1;Level 2;Level 3;Level4;Level 5;Level 6;Level 7;Level 8;Level 9;Level 10
1190;3190;191;218;227;#BFDAE3;grey;grey Basic cell groups and regions;;;;;;;;;
184;2184;176;240;255;#B0F0FF;CH;grey Basic cell groups and regions;CH Cerebrum;;;;;;;;
219;2219;176;255;184;#B0FFB8;CTX;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;;;;;;;
220;2220;112;255;112;#70FF70;CTXpl;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;;;;;;
408;2408;112;255;113;#70FF71;Isocortex;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;;;;;
333;2333;38;143;69;#268F45;FRP;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;;;;
334;2334;38;143;69;#268F45;FRP1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP1 Frontal pole, layer 1;;;
335;2335;38;143;69;#268F45;FRP2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP2-3 Frontal pole, layer 2-3;;;
336;2336;38;143;69;#268F45;FRP5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP5 Frontal pole, layer 5;;;
337;2337;38;143;69;#268F45;FRP6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP6a Frontal pole, layer 6a;;;
338;2338;38;143;69;#268F45;FRP6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;FRP Frontal pole, cerebral cortex;FRP6b Frontal pole, layer 6b;;;
484;2484;31;157;90;#1F9D5A;MO;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;;;;
485;2485;31;157;90;#1F9D5A;MO1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MO1 Somatomotor areas, Layer 1;;;
486;2486;31;157;90;#1F9D5A;MO2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MO2-3 Somatomotor areas, Layer 2-3;;;
487;2487;31;157;90;#1F9D5A;MO5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MO5 Somatomotor areas, Layer 5;;;
488;2488;31;157;90;#1F9D5A;MO6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MO6a Somatomotor areas, Layer 6a;;;
489;2489;31;157;90;#1F9D5A;MO6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MO6b Somatomotor areas, Layer 6b;;;
496;2496;31;157;90;#1F9D5A;MOp;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOp Primary motor area;;;
497;2497;31;157;90;#1F9D5A;MOp1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOp Primary motor area;MOp1 Primary motor area, Layer 1;;
498;2498;31;157;90;#1F9D5A;MOp2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOp Primary motor area;MOp2-3 Primary motor area, Layer 2-3;;
499;2499;31;157;90;#1F9D5A;MOp5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOp Primary motor area;MOp5 Primary motor area, Layer 5;;
500;2500;31;157;90;#1F9D5A;MOp6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOp Primary motor area;MOp6a Primary motor area, Layer 6a;;
501;2501;31;157;90;#1F9D5A;MOp6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOp Primary motor area;MOp6b Primary motor area, Layer 6b;;
502;2502;31;157;90;#1F9D5A;MOs;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOs Secondary motor area;;;
503;2503;31;157;90;#1F9D5A;MOs1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOs Secondary motor area;MOs1 Secondary motor area, layer 1;;
504;2504;31;157;90;#1F9D5A;MOs2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOs Secondary motor area;MOs2-3 Secondary motor area, layer 2-3;;
505;2505;31;157;90;#1F9D5A;MOs5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOs Secondary motor area;MOs5 Secondary motor area, layer 5;;
506;2506;31;157;90;#1F9D5A;MOs6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOs Secondary motor area;MOs6a Secondary motor area, layer 6a;;
507;2507;31;157;90;#1F9D5A;MOs6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;MO Somatomotor areas;MOs Secondary motor area;MOs6b Secondary motor area, layer 6b;;
834;2834;24;128;100;#188064;SS;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;;;;
835;2835;24;128;100;#188064;SS1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SS1 Somatosensory areas, layer 1;;;
836;2836;24;128;100;#188064;SS2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SS2-3 Somatosensory areas, layer 2-3;;;
837;2837;24;128;100;#188064;SS4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SS4 Somatosensory areas, layer 4;;;
838;2838;24;128;100;#188064;SS5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SS5 Somatosensory areas, layer 5;;;
839;2839;24;128;100;#188064;SS6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SS6a Somatosensory areas, layer 6a;;;
840;2840;24;128;100;#188064;SS6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SS6b Somatosensory areas, layer 6b;;;
842;2842;24;128;100;#188064;SSp;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;;;
892;2892;24;128;100;#188064;SSp1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp1 Primary somatosensory area, layer 1;;
893;2893;24;128;100;#188064;SSp2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp2-3 Primary somatosensory area, layer 2-3;;
894;2894;24;128;100;#188064;SSp4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp4 Primary somatosensory area, layer 4;;
895;2895;24;128;100;#188064;SSp5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp5 Primary somatosensory area, layer 5;;
896;2896;24;128;100;#188064;SSp6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp6a Primary somatosensory area, layer 6a;;
897;2897;24;128;100;#188064;SSp6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp6b Primary somatosensory area, layer 6b;;
864;2864;24;128;100;#188064;SSp-n;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-n Primary somatosensory area, nose;;
865;2865;24;128;100;#188064;SSp-n1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-n Primary somatosensory area, nose;SSp-n1 Primary somatosensory area, nose, layer 1;
866;2866;24;128;100;#188064;SSp-n2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-n Primary somatosensory area, nose;SSp-n2-3 Primary somatosensory area, nose, layer 2-3;
867;2867;24;128;100;#188064;SSp-n4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-n Primary somatosensory area, nose;SSp-n4 Primary somatosensory area, nose, layer 4;
868;2868;24;128;100;#188064;SSp-n5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-n Primary somatosensory area, nose;SSp-n5 Primary somatosensory area, nose, layer 5;
869;2869;24;128;100;#188064;SSp-n6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-n Primary somatosensory area, nose;SSp-n6a Primary somatosensory area, nose, layer 6a;
870;2870;24;128;100;#188064;SSp-n6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-n Primary somatosensory area, nose;SSp-n6b Primary somatosensory area, nose, layer 6b;
843;2843;24;128;100;#188064;SSp-bfd;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;;
844;2844;24;128;100;#188064;SSp-bfd1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;SSp-bfd1 Primary somatosensory area, barrel field, layer 1;
845;2845;24;128;100;#188064;SSp-bfd2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;SSp-bfd2-3 Primary somatosensory area, barrel field, layer 2-3;
846;2846;24;128;100;#188064;SSp-bfd4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;SSp-bfd4 Primary somatosensory area, barrel field, layer 4;
847;2847;24;128;100;#188064;SSp-bfd5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;SSp-bfd5 Primary somatosensory area, barrel field, layer 5;
848;2848;24;128;100;#188064;SSp-bfd6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;SSp-bfd6a Primary somatosensory area, barrel field, layer 6a;
849;2849;24;128;100;#188064;SSp-bfd6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;SSp-bfd6b Primary somatosensory area, barrel field, layer 6b;
1084;3084;24;128;100;#188064;VISrll;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;VISrll Rostrolateral lateral visual area;
1085;3085;24;128;100;#188064;VISrll1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;VISrll Rostrolateral lateral visual area;VISrll1 Rostrolateral lateral visual area, layer 1
1086;3086;24;128;100;#188064;VISrll2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;VISrll Rostrolateral lateral visual area;VISrll2-3 Rostrolateral lateral visual area, layer 2-3
1087;3087;24;128;100;#188064;VISrll4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;VISrll Rostrolateral lateral visual area;VISrll4 Rostrolateral lateral visual area, layer 4
1088;3088;24;128;100;#188064;VISrll5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;VISrll Rostrolateral lateral visual area;VISrll5 Rostrolateral lateral visual area,layer 5
1089;3089;24;128;100;#188064;VISrll6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;VISrll Rostrolateral lateral visual area;VISrll6a Rostrolateral lateral visual area, layer 6a
1090;3090;24;128;100;#188064;VISrll6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-bfd Primary somatosensory area, barrel field;VISrll Rostrolateral lateral visual area;VISrll6b Rostrolateral lateral visual area, layer 6b
850;2850;24;128;100;#188064;SSp-ll;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ll Primary somatosensory area, lower limb;;
851;2851;24;128;100;#188064;SSp-ll1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ll Primary somatosensory area, lower limb;SSp-ll1 Primary somatosensory area, lower limb, layer 1;
852;2852;24;128;100;#188064;SSp-ll2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ll Primary somatosensory area, lower limb;SSp-ll2-3 Primary somatosensory area, lower limb, layer 2-3;
853;2853;24;128;100;#188064;SSp-ll4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ll Primary somatosensory area, lower limb;SSp-ll4 Primary somatosensory area, lower limb, layer 4;
854;2854;24;128;100;#188064;SSp-ll5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ll Primary somatosensory area, lower limb;SSp-ll5 Primary somatosensory area, lower limb, layer 5;
855;2855;24;128;100;#188064;SSp-ll6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ll Primary somatosensory area, lower limb;SSp-ll6a Primary somatosensory area, lower limb, layer 6a;
856;2856;24;128;100;#188064;SSp-ll6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ll Primary somatosensory area, lower limb;SSp-ll6b Primary somatosensory area, lower limb, layer 6b;
857;2857;24;128;100;#188064;SSp-m;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-m Primary somatosensory area, mouth;;
858;2858;24;128;100;#188064;SSp-m1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-m Primary somatosensory area, mouth;SSp-m1 Primary somatosensory area, mouth, layer 1;
859;2859;24;128;100;#188064;SSp-m2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-m Primary somatosensory area, mouth;SSp-m2-3 Primary somatosensory area, mouth, layer 2-3;
860;2860;24;128;100;#188064;SSp-m4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-m Primary somatosensory area, mouth;SSp-m4 Primary somatosensory area, mouth, layer 4;
861;2861;24;128;100;#188064;SSp-m5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-m Primary somatosensory area, mouth;SSp-m5 Primary somatosensory area, mouth, layer 5;
862;2862;24;128;100;#188064;SSp-m6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-m Primary somatosensory area, mouth;SSp-m6a Primary somatosensory area, mouth, layer 6a;
863;2863;24;128;100;#188064;SSp-m6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-m Primary somatosensory area, mouth;SSp-m6b Primary somatosensory area, mouth, layer 6b;
878;2878;24;128;100;#188064;SSp-ul;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ul Primary somatosensory area, upper limb;;
879;2879;24;128;100;#188064;SSp-ul1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ul Primary somatosensory area, upper limb;SSp-ul1 Primary somatosensory area, upper limb, layer 1;
880;2880;24;128;100;#188064;SSp-ul2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ul Primary somatosensory area, upper limb;SSp-ul2-3 Primary somatosensory area, upper limb, layer 2-3;
881;2881;24;128;100;#188064;SSp-ul4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ul Primary somatosensory area, upper limb;SSp-ul4 Primary somatosensory area, upper limb, layer 4;
882;2882;24;128;100;#188064;SSp-ul5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ul Primary somatosensory area, upper limb;SSp-ul5 Primary somatosensory area, upper limb, layer 5;
883;2883;24;128;100;#188064;SSp-ul6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ul Primary somatosensory area, upper limb;SSp-ul6a Primary somatosensory area, upper limb, layer 6a;
884;2884;24;128;100;#188064;SSp-ul6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-ul Primary somatosensory area, upper limb;SSp-ul6b Primary somatosensory area, upper limb, layer 6b;
871;2871;24;128;100;#188064;SSp-tr;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-tr Primary somatosensory area, trunk;;
872;2872;24;128;100;#188064;SSp-tr1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-tr Primary somatosensory area, trunk;SSp-tr1 Primary somatosensory area, trunk, layer 1;
873;2873;24;128;100;#188064;SSp-tr2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-tr Primary somatosensory area, trunk;SSp-tr2-3 Primary somatosensory area, trunk, layer 2-3;
874;2874;24;128;100;#188064;SSp-tr4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-tr Primary somatosensory area, trunk;SSp-tr4 Primary somatosensory area, trunk, layer 4;
875;2875;24;128;100;#188064;SSp-tr5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-tr Primary somatosensory area, trunk;SSp-tr5 Primary somatosensory area, trunk, layer 5;
876;2876;24;128;100;#188064;SSp-tr6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-tr Primary somatosensory area, trunk;SSp-tr6a Primary somatosensory area, trunk, layer 6a;
877;2877;24;128;100;#188064;SSp-tr6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-tr Primary somatosensory area, trunk;SSp-tr6b Primary somatosensory area, trunk, layer 6b;
885;2885;24;128;100;#188064;SSp-un;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-un Primary somatosensory area, unassigned;;
886;2886;24;128;100;#188064;SSp-un1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-un Primary somatosensory area, unassigned;SSp-un1 Primary somatosensory area, unassigned, layer 1;
887;2887;24;128;100;#188064;SSp-un2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-un Primary somatosensory area, unassigned;SSp-un2-3 Primary somatosensory area, unassigned, layer 2-3;
888;2888;24;128;100;#188064;SSp-un4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-un Primary somatosensory area, unassigned;SSp-un4 Primary somatosensory area, unassigned, layer 4;
889;2889;24;128;100;#188064;SSp-un5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-un Primary somatosensory area, unassigned;SSp-un5 Primary somatosensory area, unassigned, layer 5;
890;2890;24;128;100;#188064;SSp-un6a;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-un Primary somatosensory area, unassigned;SSp-un6a Primary somatosensory area, unassigned, layer 6a;
891;2891;24;128;100;#188064;SSp-un6b;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSp Primary somatosensory area;SSp-un Primary somatosensory area, unassigned;SSp-un6b Primary somatosensory area, unassigned, layer 6b;
898;2898;24;128;100;#188064;SSs;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSs Supplemental somatosensory area;;;
899;2899;24;128;100;#188064;SSs1;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSs Supplemental somatosensory area;SSs1 Supplemental somatosensory area, layer 1;;
900;2900;24;128;100;#188064;SSs2-3;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSs Supplemental somatosensory area;SSs2-3 Supplemental somatosensory area, layer 2-3;;
901;2901;24;128;100;#188064;SSs4;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSs Supplemental somatosensory area;SSs4 Supplemental somatosensory area, layer 4;;
902;2902;24;128;100;#188064;SSs5;grey Basic cell groups and regions;CH Cerebrum;CTX Cerebral cortex;CTXpl Cortical plate;Isocortex Isocortex;SS Somatosensory areas;SSs Supplemental somatosensory area;SSs5 Supplemental somatosensory area, layer 5;;
